1,0.603710,0.6366,0.479867,0.8202,2025-09-30 04:52:12
2,0.542478,0.7491,0.406624,0.8349,2025-09-30 05:00:14
3,0.503949,0.7518,0.336616,0.8954,2025-09-30 05:08:38
4,0.437923,0.8018,0.292620,0.8917,2025-09-30 05:16:31
5,0.454301,0.7804,0.304986,0.8771,2025-09-30 05:25:42
6,0.431398,0.8036,0.238441,0.9174,2025-09-30 05:34:20
7,0.407481,0.8063,0.255884,0.9174,2025-09-30 05:42:34
8,0.407038,0.7893,0.243013,0.8954,2025-09-30 05:54:52
9,0.407852,0.8143,0.192142,0.9339,2025-09-30 06:05:28
10,0.412416,0.8063,0.340871,0.8495,2025-09-30 06:15:33
11,0.374733,0.8187,0.192343,0.9358,2025-09-30 06:22:42
12,0.354643,0.8277,0.180278,0.9284,2025-09-30 06:31:40
13,0.344139,0.8473,0.243816,0.9229,2025-09-30 06:40:52
14,0.360994,0.8232,0.196415,0.9303,2025-09-30 06:51:11
15,0.321382,0.8321,0.235722,0.9211,2025-09-30 07:02:55
16,0.358947,0.8411,0.163268,0.9413,2025-09-30 07:14:37
17,0.339271,0.8375,0.292169,0.8771,2025-09-30 07:23:46
18,0.361536,0.8393,0.276201,0.9064,2025-09-30 07:34:45
19,0.345561,0.8402,0.184251,0.9468,2025-09-30 07:45:44
20,0.292618,0.8527,0.266295,0.9064,2025-09-30 07:56:42
21,0.317322,0.8589,0.168891,0.9486,2025-09-30 08:07:32
22,0.292220,0.8607,0.128435,0.9523,2025-09-30 08:18:17
23,0.299910,0.8679,0.228650,0.9321,2025-09-30 08:29:22
24,0.270732,0.8857,0.174116,0.9358,2025-09-30 08:40:58
25,0.306982,0.8616,0.160158,0.9541,2025-09-30 08:52:36
26,0.298769,0.8705,0.127710,0.9541,2025-09-30 09:04:17
27,0.285699,0.8741,0.175703,0.9523,2025-09-30 09:15:53
28,0.267008,0.8857,0.164698,0.9468,2025-09-30 09:27:24
29,0.281179,0.8848,0.333621,0.9174,2025-09-30 09:39:01
30,0.260874,0.8884,0.160950,0.9450,2025-09-30 09:50:38
31,0.293391,0.8750,0.098661,0.9633,2025-09-30 10:02:13
32,0.285859,0.8759,0.163443,0.9523,2025-09-30 10:13:58
33,0.247083,0.9009,0.128532,0.9450,2025-09-30 10:26:44
34,0.238883,0.8830,0.270735,0.9431,2025-09-30 10:36:48
35,0.291339,0.8688,0.105803,0.9688,2025-09-30 10:48:17
36,0.257495,0.8839,0.183741,0.9578,2025-09-30 10:56:45
37,0.260461,0.8857,0.202669,0.9596,2025-09-30 11:08:38
38,0.255462,0.8875,0.114362,0.9596,2025-09-30 11:18:00
39,0.245995,0.8920,0.165906,0.9450,2025-09-30 11:29:48
40,0.221466,0.8902,0.100775,0.9633,2025-09-30 11:37:13
41,0.255236,0.8848,0.141720,0.9670,2025-09-30 11:44:15
42,0.254416,0.8866,0.100694,0.9670,2025-09-30 11:54:17
43,0.220064,0.9009,0.092925,0.9651,2025-09-30 12:04:05
44,0.254095,0.8795,0.116487,0.9578,2025-09-30 12:15:48
45,0.236764,0.8946,0.082073,0.9835,2025-09-30 12:27:30
46,0.218843,0.8973,0.106413,0.9761,2025-09-30 12:39:24
47,0.205650,0.9125,0.105943,0.9761,2025-09-30 12:50:59
48,0.210898,0.9134,0.086916,0.9688,2025-09-30 13:02:48
49,0.214040,0.9062,0.089310,0.9633,2025-09-30 13:14:27
50,0.193734,0.9170,0.103896,0.9596,2025-09-30 13:25:31
51,0.214792,0.9134,0.141664,0.9725,2025-09-30 13:36:42
52,0.218626,0.9089,0.151637,0.9743,2025-09-30 13:47:43
53,0.205325,0.9080,0.144664,0.9725,2025-09-30 13:58:45
54,0.189696,0.9232,0.089669,0.9670,2025-09-30 14:09:55
55,0.164265,0.9250,0.083380,0.9780,2025-09-30 14:21:01
56,0.205557,0.8991,0.268889,0.9633,2025-09-30 14:32:05
57,0.205473,0.9125,0.129448,0.9706,2025-09-30 14:43:13
58,0.178095,0.9304,0.160994,0.9725,2025-09-30 14:54:15
59,0.158249,0.9330,0.083314,0.9725,2025-09-30 15:05:19
60,0.197102,0.9179,0.218976,0.9670,2025-09-30 15:16:25
61,0.184819,0.9277,0.090640,0.9706,2025-09-30 15:27:28
62,0.177087,0.9196,0.075952,0.9761,2025-09-30 15:38:34
63,0.139418,0.9491,0.081345,0.9688,2025-09-30 15:49:39
