Metric,Value
Accuracy,0.8403669724770643
Precision,0.8397636672066734
Recall,0.8403669724770643
F1 Score,0.8336543272363234
Sensitivity,0.940379403794038
Specificity,0.6306818181818182
Roc Auc,0.8474069967972406
Benign Precision,0.8345864661654135
Benign Recall,0.6306818181818182
Benign F1 Score,0.7184466019417476
Malignant Precision,0.8422330097087378
Malignant Recall,0.940379403794038
Malignant F1 Score,0.8886043533930857
